product_id,category_id,seller_id,product_name,product_desc,product_price,quantity_available
1,1,101,T-shirt,Soft cotton t-shirt in various sizes and colors.,19.99,50
2,1,102,Coffee Maker,Programmable coffee maker with different brew strengths.,49.99,20
3,2,201,Novel,A thrilling mystery novel by a renowned author.,14.99,30
4,2,202,Cookbook,A collection of delicious and easy-to-follow recipes.,24.99,15
5,3,301,Laptop,Portable laptop with powerful processor and long battery life.,699.99,10
6,3,302,Wireless Headphones,Noise-canceling headphones with excellent sound quality.,129.99,25
7,4,401,Pen,Comfortable grip pen with smooth ink flow in various colors.,2.99,100
8,4,402,Notebook,High-quality notebook with lined or blank pages.,5.99,75
9,5,501,Guitar,Beginner-friendly acoustic guitar with a beautiful natural finish.,199.99,5
10,5,502,Piano Keyboard,Portable digital piano keyboard with 88 weighted keys.,349.99,3
11,1,103,Water Bottle,Reusable water bottle with leak-proof lid in various colors and sizes.,12.99,40
12,1,104,Backpack,Spacious and durable backpack with comfortable straps.,49.99,25
13,2,203,Biography,Inspiring biography of a successful entrepreneur.,19.99,20
14,2,204,Self-help book,Practical guide to overcoming everyday challenges.,16.99,35
15,3,303,Smartphone,High-performance smartphone with advanced camera system.,999.99,7
16,3,304,Tablet,Portable tablet with long battery life and powerful processor.,399.99,15
17,4,403,Highlighter,Double-sided highlighter in various colors.,3.49,80
18,4,404,Sticky Notes,Colorful and adhesive sticky notes for reminders and messages.,4.99,60
19,5,503,Violin,Elegant violin crafted from high-quality wood with a beautiful finish.,599.99,2
20,5,504,Drum Set,Complete drum set with all necessary components for beginners.,399.99,4
21,6,601,Jeans,Stylish and comfortable jeans in various sizes and washes.,49.99,60
22,6,602,T-shirt,Graphic t-shirt with a unique design.,24.99,30
23,7,701,Sofa,Comfortable and stylish sofa for your living room.,799.99,5
24,7,702,Coffee Table,Modern coffee table with a sleek design.,199.99,10
25,8,801,Shampoo,Nourishing shampoo for healthy and manageable hair.,14.99,50
26,8,802,Body Lotion,Hydrating body lotion for smooth and soft skin.,9.99,75
27,9,901,Board Game,Fun and engaging board game for family and friends.,39.99,20
28,9,902,Puzzle,Challenging and rewarding puzzle for all ages.,19.99,40
29,10,1001,Running Shoes,Lightweight and comfortable running shoes for your workouts.,79.99,25
30,10,1002,Soccer Ball,High-quality soccer ball for playing and practicing.,29.99,15
31,11,1101,Cereal,Healthy and delicious cereal for a quick and easy breakfast.,4.99,80
32,11,1102,Coffee,Premium coffee beans for a rich and flavorful cup.,12.99,35
33,12,1201,Car Battery,Powerful and reliable car battery for your vehicle.,99.99,10
34,12,1202,Engine Oil,High-quality engine oil for optimal performance and protection.,19.99,40
35,13,1301,Dog Food,Nutritious and delicious dog food for your furry friend.,24.99,60
36,13,1302,Cat Litter,Clumping cat litter for easy cleaning and odor control.,8.99,50
37,14,1401,Yarn,Soft and colorful yarn for knitting and crocheting projects.,5.99,100
38,14,1402,Knitting Needles,Set of knitting needles in various sizes for different projects.,14.99,20
39,15,1501,Paint Brushes,Set of different sized paint brushes for various art projects.,9.99,40
41,16,1601,Earrings,Delicate and elegant earrings for a stylish look.,39.99,50
42,16,1602,Necklace,Statement necklace to add a touch of personality to your outfit.,79.99,25
43,17,1701,Desk Chair,Ergonomic and comfortable desk chair for long hours of work.,199.99,10
44,17,1702,File Cabinet,Sturdy file cabinet to organize your documents efficiently.,149.99,5
45,18,1801,Balloons,"Bundle of colorful balloons for birthdays, celebrations, and decorations.",7.99,100
46,18,1802,Streamers,Party streamers in various colors to add a festive touch.,4.99,80
47,19,1901,Hammer,Durable hammer for various home improvement and building projects.,19.99,30
48,19,1902,Saw,"Versatile saw for cutting wood, metal, and other materials.",49.99,15
49,20,2001,Dish Soap,Concentrated dish soap for effective cleaning and grease removal.,5.99,75
50,20,2002,Paper Towels,Absorbent paper towels for cleaning spills and messes.,4.99,100
51,21,2101,Diapers,Pack of disposable diapers for babies in various sizes.,19.99,60
52,21,2102,Baby Wipes,Gentle and hypoallergenic baby wipes for cleaning and soothing.,7.99,50
53,22,2201,Suitcase,Lightweight and durable suitcase for travel needs.,149.99,10
54,22,2202,Backpack (Travel),Spacious and comfortable backpack designed for travel adventures.,69.99,20
55,23,2301,Textbook,Educational textbook for a specific subject at a specific level.,79.99,30
56,23,2302,Workbook,Companion workbook for practicing and reinforcing concepts from a textbook.,24.99,40
57,24,2401,Tent,Durable and portable tent for camping and outdoor adventures.,199.99,5
58,24,2402,Sleeping Bag,Warm and comfortable sleeping bag for camping trips.,79.99,10
59,1,1001,Water Bottle,Reusable water bottle with leak-proof lid in various colors and sizes.,12.99,40
60,2,2001,Novel,A thrilling mystery novel by a renowned author.,14.99,30
61,3,3001,Laptop,Portable laptop with powerful processor and long battery life.,699.99,10
62,4,4001,Pen,Comfortable grip pen with smooth ink flow in various colors.,2.99,100
63,5,5001,Guitar,Beginner-friendly acoustic guitar with a beautiful natural finish.,199.99,5
64,6,6001,Jeans,Stylish and comfortable jeans in various sizes and washes.,49.99,60
65,7,7001,Sofa,Comfortable and stylish sofa for your living room.,799.99,5
66,8,8001,Shampoo,Nourishing shampoo for healthy and manageable hair.,14.99,50
67,9,9001,Board Game,Fun and engaging board game for family and friends.,39.99,20
68,10,1001,Running Shoes,Lightweight and comfortable running shoes for your workouts.,79.99,25
69,11,1101,Cereal,Healthy and delicious cereal for a quick and easy breakfast.,4.99,80
70,12,1201,Car Battery,Powerful and reliable car battery for your vehicle.,99.99,10
71,13,1301,Dog Food,Nutritious and delicious dog food for your furry friend.,24.99,60
72,14,1401,Yarn,Soft and colorful yarn for knitting and crocheting projects.,5.99,100
73,15,1501,Paint Brushes,Set of different sized paint brushes for various art projects.,9.99,40
74,16,1601,Earrings,Delicate and elegant earrings for a stylish look.,39.99,50
75,17,1701,Desk Chair,Ergonomic and comfortable desk chair for long hours of work.,199.99,10
76,18,1801,Balloons,"Bundle of colorful balloons for birthdays, celebrations, and decorations.",7.99,100
77,19,1901,Hammer,Durable hammer for various home improvement and building projects.,19.99,30
78,7,7002,Coffee Table,Modern coffee table with a sleek design and glass top.,149.99,5
79,8,8002,Body Lotion,Hydrating body lotion with a refreshing scent.,9.99,75
80,9,9002,Puzzle,Challenging and rewarding puzzle with a beautiful landscape image.,19.99,40
81,10,1002,Soccer Ball,High-quality soccer ball for professional use.,49.99,15
82,11,1102,Coffee,Premium coffee beans for a rich and bold cup of coffee.,14.99,35
83,12,1202,Engine Oil,High-performance engine oil for optimal engine protection.,24.99,40
84,13,1302,Cat Litter,Clumping cat litter with superior odor control.,9.99,50
85,14,1402,Knitting Needles,Set of interchangeable knitting needles in various sizes for different projects.,19.99,20
86,15,1502,Drawing Pencils,Set of high-quality drawing pencils in different grades for various artistic techniques.,12.99,30
87,16,1602,Necklace,Statement necklace with a unique design and sparkling stones.,99.99,25
88,17,1702,File Cabinet,Sturdy metal file cabinet with multiple drawers for organized storage.,179.99,5
89,18,1802,Streamers,Party streamers in metallic colors for a festive touch.,5.99,80
90,19,1902,Saw,Hand saw with a comfortable grip and sharp blade for various cutting tasks.,29.99,15
91,20,2002,Paper Towels,Absorbent and durable paper towels for cleaning spills and messes.,5.99,100
92,21,2102,Baby Wipes,Gentle and hypoallergenic baby wipes for cleaning and soothing.,8.99,50
93,22,2202,Backpack (Travel),Spacious and comfortable travel backpack with multiple compartments.,89.99,20
94,23,2302,Workbook,Companion workbook for practicing and reinforcing concepts from a specific textbook.,29.99,40
95,24,2402,Sleeping Bag,Lightweight and compact sleeping bag for camping trips in warm weather.,49.99,10
